"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1949-01","0","31","11","-36","22","7.5","0.45","48","5310","1.90","32.0","4.8","17.6","-8.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1949-02","0","25","4","-29","23","5.5","0.54","52","6514","0.86","10.0","20.4","31.9","8.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1949-03","0",,"6","-1",,"4.5","0.28","52","7608","1.07","16.1","29.7","40.1","19.4"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1949-04","0","0","2","20","0","3.0","0.79","75","8104","2.06","5.0","47.9","62.1","33.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1949-05","2","0","0","27","0","0.0","0.59","80","8446","1.92","0.0","54.0","66.3","41.8"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1949-06","9","0","0","32","0","0.0","0.83","85","8703","3.74","0.0","56.7","69.2","44.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1949-07","88","0","0","35","0","0.0","0.28","91","37","0.51","0.0","66.2","82.4","50.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1949-08","197","0","0","43","0","0.0","0.20","95","65","0.55","0.0","67.6","84.1","51.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1949-09","197","0","0","28","0","0.0","0.68","82","344","2.22","0.0","54.8","69.0","40.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1949-10","197","0","3","12","0","4.0","0.37","71","1136","1.21","8.0","39.5","50.4","28.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1949-11","197","0","0","20","0","0.0","0.41","64","1816","0.51","0.0","42.3","54.3","30.4"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1949-12","197","22","2","-22","9","5.5","0.30","52","3078","0.59","10.0","24.3","35.4","13.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1950-01","0","28","0","-24","6","0.9","0.20","54","4570","0.74","1.3","13.2","25.7","0.8"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1950-02","0","24","3","-14","6","2.6","0.23","62","5550","0.75","6.3","30.0","40.7","19.3"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1950-03","0","26","4","-10","9","7.1","0.65","63","6649","2.00","19.4","29.6","39.6","19.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1950-04","0","0","0","15","0","0.5","0.31","71","7378","0.99","0.5","40.7","52.4","29.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1950-05","0","0","0","23","0","0.0","0.68","79","7930","2.07","0.0","47.2","60.7","33.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1950-06","4","0","0","28","0","0.0","0.56","85","8195","2.17","0.0","56.3","70.5","42.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1950-07","25","0","0","32","0","0.0","0.69","88","103","2.75","0.0","62.3","77.7","47.0"
