"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00243990","HAVRE 14 N, MT US","1951-06",,"0","0",,"0","0.0","1.88",,,"3.94","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1951-07",,"0","0",,"0","0.0","0.29",,,"0.72","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1951-08",,"0","0",,"0","0.0","0.82",,,"3.59","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1951-09",,"0","0",,"0","0.0","0.39",,,"1.43","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1951-10",,,,,,,"0.22",,,"0.77",,,,
"USC00243990","HAVRE 14 N, MT US","1951-11",,,"0",,,"0.0","0.09",,,"0.14","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1951-12",,,,,,,"0.11",,,"0.27",,,,
"USC00243990","HAVRE 14 N, MT US","1952-01",,,,,,,"0.24",,,"0.62",,,,
"USC00243990","HAVRE 14 N, MT US","1952-02",,,,,,,"0.12",,,"0.33",,,,
"USC00243990","HAVRE 14 N, MT US","1952-03",,,,,,,"0.15",,,"0.30",,,,
"USC00243990","HAVRE 14 N, MT US","1952-04",,"0","0",,"0","0.0","0.12",,,"0.12","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1952-05",,"0","0",,"0","0.0","0.90",,,"2.08","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1952-06",,"0","0",,"0","0.0","0.75",,,"2.39","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1952-07",,"0","0",,"0","0.0","0.61",,,"1.29","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1952-08",,"0","0",,"0","0.0","0.56",,,"0.83","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1952-09",,"0","0",,"0","0.0","0.26",,,"0.52","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1952-10",,"0","0",,"0","0.0","0.00",,,"0.00","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1952-11",,,"0",,,"0.0","0.09",,,"0.20","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1952-12",,,"0",,,"0.0","0.04",,,"0.05","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1953-01",,,"0",,,"0.0","0.05",,,"0.13","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1953-02",,,,,,,"0.15",,,"0.25",,,,
"USC00243990","HAVRE 14 N, MT US","1953-03",,,,,,,"0.18",,,"0.20",,,,
"USC00243990","HAVRE 14 N, MT US","1953-04",,,,,,,"0.40",,,"1.57",,,,
"USC00243990","HAVRE 14 N, MT US","1953-05",,"0","0",,"0","0.0","0.66",,,"2.50","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1953-06",,"0","0",,"0","0.0","0.55",,,"2.57","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1953-07",,"0","0",,"0","0.0","1.10",,,"1.58","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1953-08",,"0","0",,"0","0.0","0.02",,,"0.03","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1953-09",,"0","0",,"0","0.0","0.23",,,"0.42","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1953-10",,"0","0",,"0","0.0","0.06",,,"0.06","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1953-11",,"0","0",,"0","0.0","0.06",,,"0.14","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1953-12",,,,,,,"0.42",,,"0.91",,,,
"USC00243990","HAVRE 14 N, MT US","1954-01",,,,,,,"0.25",,,"0.66",,,,
"USC00243990","HAVRE 14 N, MT US","1954-02",,"0","0",,"0","0.0","0.16",,,"0.27","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1954-03",,,"0",,,"0.0","0.15",,,"0.52","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1954-04",,"0","0",,"0","0.0","0.37",,,"0.98","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1954-05",,"0","0",,"0","0.0","0.34",,,"1.35","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1954-06",,"0","0",,"0","0.0","0.66",,,"2.52","0.0",,,
"USC00243990","HAVRE 14 N, MT US","1954-07",,"0","0",,"0","0.0","0.34",,,"0.83","0.0",,,
