"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1949-01","0",,,"-39",,,"0.31","51","4981","0.77",,"2.8","17.1","-11.5"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1949-02","0",,,"-36",,,"0.25","53","6419","0.39",,"13.6","28.6","-1.3"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1949-03","0",,,"-7",,,"0.17","59","7469","0.36",,"31.1","42.5","19.8"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1949-04","0",,,"19",,,"0.25","86","7877","0.39",,"51.4","68.7","34.1"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1949-05","24",,,"29",,,"0.23","90","8094","0.92",,"58.8","74.7","42.9"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1949-06","79",,,"39",,,"0.88","95","8205","2.21",,"63.1","77.3","49.0"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1949-07","221",,,"45",,,"0.44","99","17","1.87",,"69.0","86.4","51.7"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1949-08","395",,,"40",,,"0.09","104","41","0.15",,"69.8","89.3","50.3"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1949-09","400",,,"28",,,"0.49","89","276","1.75",,"57.3","73.7","41.0"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1949-10","400",,,"19",,,"0.99","77","1005","2.55",,"41.1","52.8","29.4"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1949-11","400",,,"15",,,"0.02","71","1614","0.02",,"44.7","60.1","29.3"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1949-12","400",,,"-25",,,"0.25","62","3059","0.46",,"16.7","30.4","3.0"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1950-01","0",,,"-34",,,"0.10","52","4989","0.34",,"-1.6","10.0","-13.2"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1950-02","0",,,"-18",,,"0.28","52","6044","0.52",,"26.0","38.2","13.7"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1950-03","0",,,"-20",,,"0.34","67","7149","0.83",,"29.3","39.5","19.2"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1950-04","0",,,"9",,,"1.01","73","7821","1.72",,"42.6","55.3","30.0"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1950-05","0",,,"28",,,"0.31","85","8288","1.83",,"49.9","62.6","37.3"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1950-06","31",,,"32",,,"0.75","89","8453","2.11",,"60.2","74.3","46.0"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1950-07","125",,,"41",,,"0.29","94","63","1.03",,"66.0","81.8","50.2"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1950-08","210",,,"38",,,"0.38","94","110","0.77",,"66.2","83.8","48.6"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1950-09","249",,,"19",,,"0.72","99","433","1.73",,"55.6","70.7","40.5"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1950-10","252",,,"18",,,"0.40","85","920","0.62",,"49.4","64.8","33.9"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1950-11","252",,,"-18",,,"0.32","68","2012","0.74",,"28.6","40.8","16.4"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1950-12","252",,,"-23",,,"0.29","57","3155","0.45",,"28.1","38.6","17.7"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1951-01","0",,,"-23",,,"0.12","46","4643","0.43",,"17.0","28.1","6.0"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1951-02","0",,,"-12",,,"0.06","68","5725","0.20",,"26.3","38.5","14.1"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1951-03","0",,,"-25",,,"0.23","63","7090","0.56",,"21.0","32.4","9.5"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1951-04","0",,,"10",,,"1.07","81","7798","1.36",,"41.4","55.9","26.9"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1951-05","16",,,"31",,,"1.02","90","8100","1.74",,"55.8","71.2","40.4"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1951-06","23",,,"31",,,"0.63","88","8341","1.84",,"57.2","70.6","43.8"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1951-07","257",,,"38",,,"0.19","101","57","0.49",,"70.7","87.5","53.9"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1951-08","370",,,"43",,,"0.63","99","112","2.73",,"66.9","81.8","52.0"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1951-09","379",,,"22",,,"0.55","89","460","1.06",,"53.7","67.8","39.6"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1951-10","379",,,"7",,,"0.25","81","1143","1.29",,"43.0","55.4","30.6"
"USC00244345","HUNTLEY EXPERIMENTAL STATION, MT US","1951-11","379",,,"4",,,"0.06","61","2115","0.19",,"32.6","45.8","19.4"
