"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00244558","KALISPELL GLACIER AIRPORT, MT US","1949-06",,"0","0","35","0","0.0","0.38","86",,"1.13","0.0","57.5","71.9","43.1"
"USC00244558","KALISPELL GLACIER AIRPORT, MT US","1949-07",,"0","0","35","0","0.0","0.33","93","92","1.52","0.0","63.8","79.9","47.6"
"USC00244558","KALISPELL GLACIER AIRPORT, MT US","1949-08",,"0","0","33","0","0.0","0.30","94","159","0.58","0.0","65.2","83.1","47.4"
"USC00244558","KALISPELL GLACIER AIRPORT, MT US","1949-09",,"0","0","25","0","0.0","0.59","87","457","0.96","0.0","55.1","71.0","39.1"
"USC00244558","KALISPELL GLACIER AIRPORT, MT US","1949-10",,"0","0","19","0","0.0","0.47","59","1231","1.33","0.0","40.0","50.8","29.3"
"USC00244558","KALISPELL GLACIER AIRPORT, MT US","1949-11",,"1","1","20","2","3.0","0.37","60","2034","1.55","3.5","38.2","45.4","31.0"
"USC00244558","KALISPELL GLACIER AIRPORT, MT US","1949-12",,"23","8","-1","10","2.2","0.18","50","3301","1.07","17.7","24.2","31.5","16.8"
"USC00244558","KALISPELL GLACIER AIRPORT, MT US","1950-01","0","31","9","-38","14","10.9","0.75","44","5194","2.08","30.4","3.9","13.4","-5.5"
"USC00244558","KALISPELL GLACIER AIRPORT, MT US","1950-02","0","28","5","-36","16","2.3","0.23","53","6295","1.19","10.8","25.7","35.6","15.7"
"USC00244558","KALISPELL GLACIER AIRPORT, MT US","1950-03","0","28","4","-8","11","4.1","0.63","48","7368","1.88","7.8","30.4","38.1","22.7"
"USC00244558","KALISPELL GLACIER AIRPORT, MT US","1950-04","0","0","0","23","0","0.7","0.17","67","8089","0.78","1.2","40.9","50.9","31.0"
