"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1949-01","0",,,"-33",,,"0.13","52","5279","0.76",,"7.6","21.3","-6.1"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1949-02","0",,,"-23",,,"0.25","46","6674","0.70",,"15.2","27.2","3.1"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1949-03","0",,,"-11",,,"0.23","54","7777","0.51",,"29.4","40.8","18.1"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1949-04","0",,,"20",,,"0.25","79","8297","0.48",,"47.6","62.9","32.4"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1949-05","1",,,"27",,,"0.60","83","8649","2.69",,"53.7","67.6","39.8"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1949-06","13",,,"32",,,"1.67","88","8889","2.53",,"57.4","69.5","45.2"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1949-07","71",,,"39",,,"0.72","92","65","1.59",,"64.8","80.6","49.0"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1949-08","217",,,"38",,,"0.21","101","108","0.68",,"68.3","85.3","51.4"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1949-09","225",,,"25",,,"0.58","85","425","1.28",,"54.7","69.2","40.2"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1949-10","225",,,"11",,,"0.19","73","1215","0.72",,"39.5","52.0","27.0"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1949-11","225",,,"11",,,"0.06","73","1847","0.11",,"43.0","57.8","28.2"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1949-12","225",,,"-25",,,"0.18","55","3285","0.71",,"18.6","32.3","4.9"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1950-01","0",,,"-40",,,"0.22","50","5360","0.63",,"-1.9","12.0","-15.9"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1950-02","0",,,"-15",,,"0.06","65","6261","0.12",,"31.6","43.1","20.2"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1950-03","0",,,"-23",,,"0.19","61","7509","0.93",,"24.7","36.0","13.4"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1950-04","0",,,"7",,,"0.38","69","8334","1.12",,"37.5","49.2","25.8"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1950-05","0",,,"18",,,"0.77","81","8906","2.06",,"46.6","59.1","34.1"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1950-06","7",,,"29",,,"0.67","83","9208","3.07",,"55.2","67.3","43.1"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1950-07","56",,,"39",,,"0.79","91","128","2.83",,"62.5","76.3","48.6"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1950-08","72",,,"35",,,"0.64","86","254","2.25",,"61.4","75.0","47.8"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1950-09","91",,,"11",,,"0.35","92","660","1.26",,"52.1","64.9","39.3"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1950-10","91",,,"10",,,"0.15","78","1203","0.34",,"47.5","60.8","34.2"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1950-11","91",,,"-12",,,"0.37","70","2321","1.01",,"27.7","40.5","15.0"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1950-12","91",,,"-22",,,"0.26","56","3415","0.67",,"29.7","40.1","19.3"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1952-01","0",,,"-29",,,"0.18","45",,"0.44",,"14.3","25.3","3.4"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1952-02","0",,,"-15",,,"0.29","57",,"0.54",,"26.3","36.6","16.1"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1952-03","0",,,"-2",,,"0.17","57",,"0.38",,"26.7","36.7","16.7"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1952-04","0","0","0","13","0","0.0","0.18","81",,"0.37","0.0","47.4","60.8","34.0"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1952-05","0","0","0","32","0","0.0","0.34","76",,"2.22","0.0","51.0","63.2","38.6"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1952-06","18","0","0","33","0","0.0","0.35","88",,"1.35","0.0","59.1","73.0","45.1"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1952-07","91","0","0","34","0","0.0","0.42","94","111","0.99","0.0","63.8","81.3","46.3"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1952-08","169","0","0","35","0","0.0","0.84","97","191","2.29","0.0","64.9","81.3","48.6"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1952-09","187","0","0","33","0","0.0","0.12","88","396","0.40","0.0","58.8","74.7","42.9"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1952-10","187","0","0","18","0","0.0","0.15","82","862","0.24","0.0","50.0","66.6","33.3"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1952-11","187",,,"-10",,,"0.10","63","1842","0.46",,"32.3","45.3","19.3"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1952-12","187",,"0","0",,"0.0","0.05","67","2881","0.07","0.0","31.5","43.9","19.1"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1953-01","0",,,"-10",,,"0.03","63","3897","0.07",,"32.2","46.2","18.2"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1953-02","0",,,"2",,,"0.14","62","4871","0.52",,"30.2","44.3","16.1"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1953-03","0",,,"-10",,,"0.11","72","5848","0.28",,"33.5","44.9","22.0"
"USC00245761","MOCCASIN EXPERIMENT STATION, MT US","1953-04","0",,,"6",,,"0.21","74","6754","1.11",,"34.8","45.3","24.4"
