Location,STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
Havre,USW00024035,"HAVRE WEATHER BUREAU CITY, MT US",1949,517,96,13,-34,9,5.8,1.28,106,8673,8.91,36.8,42.7,55.9,29.4
Havre,USW00024035,"HAVRE WEATHER BUREAU CITY, MT US",1950,276,100,17,-39,16,4,1.35,98,9429,13.53,43.7,39.5,51.4,27.6
Havre,USW00024035,"HAVRE WEATHER BUREAU CITY, MT US",1951,312,106,20,-30,9,4.5,1.43,103,9119,17.08,53,39.1,50.7,27.5
Havre,USW00024035,"HAVRE WEATHER BUREAU CITY, MT US",1952,294,122,16,-31,16,4.2,0.83,98,9105,7.37,41.1,43.1,55.7,30.6
Havre,USW00024035,"HAVRE WEATHER BUREAU CITY, MT US",1953,395,30,16,-15,3,2.7,1.35,104,7746,14.04,36,46.6,59.3,33.8
Havre,USW00024035,"HAVRE WEATHER BUREAU CITY, MT US",1954,373,54,20,-43,11,6.1,1.13,101,7805,13.96,44.9,44.3,55.9,32.8
Havre,USW00024035,"HAVRE WEATHER BUREAU CITY, MT US",1955,382,113,16,-27,27,15,1.3,101,7877,16.04,70.9,40.2,52.5,28
Havre,USW00024035,"HAVRE WEATHER BUREAU CITY, MT US",1956,406,66,8,-32,5,4.9,0.99,98,9287,9.36,27.3,43.7,56.1,31.2
Havre,USW00024035,"HAVRE WEATHER BUREAU CITY, MT US",1957,436,78,14,-37,15,6,0.91,99,8175,11.7,41.4,43.8,55.4,32.2
Havre,USW00024035,"HAVRE WEATHER BUREAU CITY, MT US",1958,464,74,20,-18,11,7,1.13,97,7464,11.19,56.5,44.9,57.1,32.8
Havre,USW00024035,"HAVRE WEATHER BUREAU CITY, MT US",1959,380,68,16,-25,8,4.5,2.02,99,8400,13.37,37.7,42.6,54.3,30.8
Havre,USW00024035,"HAVRE WEATHER BUREAU CITY, MT US",1960,543,77,14,-24,7,7,0.81,105,8311,10.71,42.4,44,56.5,31.5
Havre,USW00024035,"HAVRE WEATHER BUREAU CITY, MT US",1961,,,,,,,,,,,,,,
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1962,262,48,3,-30,4,2.5,1.66,96,9156,11.63,11.5,43.3,56.5,30.2
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1963,513,52,14,-33,7,2.6,0.59,104,7625,9.54,27.9,44.9,58.4,31.5
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1964,343,64,13,-31,11,4,0.84,102,7636,12.18,34.1,42.1,54.8,29.5
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1965,288,125,17,-20,11,5.2,1.91,96,10103,18.15,42.4,39.3,50.9,27.6
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1966,393,118,13,-29,7,4,0.72,98,9294,8.25,37.9,40.7,53.3,28
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1967,496,86,18,-23,15,15.6,1.13,101,9034,8.3,66.6,42.8,55.6,30
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1968,243,58,14,-46,7,2.9,2.26,98,8022,13.04,34.7,41.9,55,28.8
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1969,406,89,13,-52,23,6.1,0.77,110,10127,8.35,40.6,39.8,53.4,26.1
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1970,498,118,16,-35,8,4.8,2.04,106,8570,11.85,53.7,40.6,53.8,27.4
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1971,525,98,16,-30,21,10.8,0.82,105,9146,8.08,63.7,41.8,54.9,28.7
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1972,471,107,23,-36,10,4.6,0.7,100,9160,9.89,57.4,41.2,53.7,28.6
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1973,447,62,15,-20,11,14,1.49,105,8146,11.74,52.1,44.5,57.8,31.2
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1974,443,45,10,-37,6,3.9,1.77,103,8133,12.45,28.4,45.3,59.1,31.6
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1975,337,91,23,-27,22,11.3,1.26,106,8546,18.28,78.5,41.6,53.8,29.4
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1976,479,47,8,-25,6,5.6,0.54,102,7384,8.22,23,46.5,60.5,32.6
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1977,356,93,17,-37,27,20,1.38,101,7448,12.63,73.6,43.9,57.7,30.1
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",1978,336,142,27,-31,28,6.5,0.97,102,9136,15.86,74,40.4,52.1,28.7
