Var,Relyear,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,count,Average,Sd,CV,id
Newturk,1926,59.3,,65.6,,75.1,49.9,71.7,48.7,40.2,72.4,67.2,58.1,,52.9,43.8,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57.34,12.34,0.215295946,420
Karmont,1921,59.1,,71.1,45.2,73,47.7,74.5,60.4,56.6,67.2,80.6,66,,50.2,46,39.9,,,45.9,35.5,,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,56.88,13.39,0.235411723,
Yogo,1932,58.1,,50.4,41.6,71.9,47.6,62.8,60.3,40.4,64.4,69.7,57.3,,42.5,34.7,34.7,67.2,53,42.2,31.7,,45.5,56.8,,48,44.5,,33.8,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,50.22,11.86,0.236113492,556
Westmont,1956,,,65.1,46.1,81.5,,,,59.8,72,80.7,59.3,,33.4,26.1,38.2,69.2,59.3,40.49,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,53.56,19.97,0.372897295,546
Itana,1956,,,62.4,47,88,58.4,74.2,58.8,67.3,79,82.1,54.5,,42.5,19.3,44.5,64.3,56.6,42.1,27.8,,56.7,56.5,,47.6,63.1,56.6,38.5,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,56.05,16.12,0.287687173,332
Rego,1956,,,,,,,77.1,49,60.6,66.4,,63.9,,57.2,45.5,37.9,68.3,54.6,45.9,39,,48.6,64,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,55.07,11.46,0.208142557,460
Sawmont,1965,,,,,,,,,,,76.8,58.5,,56.4,48.8,32.2,75.2,55,51.8,36.6,,49.2,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,54.42,13.58,0.249544371,472
Froid,1968,,,,,,,,,,,,,,,,33.7,62.7,56,45,37,,44.4,56.4,,48.5,,58.4,44.1,52.4,38.63,54.1,71.27,58.1,60.5,49.2,51.3,50.7,37.08,55.87,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,50.28,9.52,0.18938482,306
Teton,1971,,,,,,,,,,,,,,,,,,63.9,49.9,41.6,,51.6,63.9,,51.6,68.4,49.7,,,,,,,,,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,54.41,8.85,0.162633584,520
Crest,1967,,,,,,,,,,,,,,,,,,,54,35.8,,54.1,69.4,,46.9,53.4,,52.2,55.2,51.2,56.2,84.95,75.8,65.3,,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,57.51,12.51,0.217589339,289
Redwin,1979,,,,,,,,,,,,,,,,,,,,,,,,,,60.9,57.6,44.6,67.4,32.28,66.2,85.08,73.5,85.9,75.7,59.9,,50.62,75.58,64.6,65.93,62.87,74,87.4,39.9,83.7,98.7,73.7,66.6,92.7,99.1,100.8,,,,,,,,,,,,,,,,,,,,26,70.97,17.89,0.252105267,458
Rosebud,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,61.5,41,61.73,,67.7,70.3,53.4,50.3,49.5,40.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,54.47,10.42,0.191383382,467
Winridge,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7,80.23,86.2,90.4,,55.6,64.5,54.89,79.79,46.1,55.91,57.14,80.2,81.6,39.2,84.4,119.6,79.2,105.7,,,,,,,,,,,,,,,,,,,,,,,18,73.85,20.62,0.279208102,551
