Var,Relyear,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,count,Average,Sd,CV,id
Newturk,1926,,,,,,29.90 ,42.30 ,,,32.10 ,17.00 ,22.70 ,10.40 ,10.30 ,11.60 ,8.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20.50 ,12.00 ,0.585315038,420
Karmont,1921,,,,,,24.30 ,49.50 ,,,30.40 ,20.10 ,,14.20 ,10.80 ,11.50 ,13.70 ,,,26.20 ,30.70 ,27.30 ,35.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,24.49 ,11.37 ,0.464279244,
Yogo,1932,,,,,,25.50 ,52.20 ,,,30.00 ,25.70 ,18.40 ,9.90 ,10.80 ,12.30 ,10.90 ,31.70 ,26.80 ,23.80 ,32.70 ,26.70 ,37.10 ,,27.50 ,48.70 ,33.50 ,,45.30 ,29.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,27.95 ,12.04 ,0.430851936,556
Westmont,1956,,,,,,,,,,32.80 ,20.70 ,18.30 ,12.70 ,11.80 ,12.00 ,,,22.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,18.66 ,7.58 ,0.406089367,546
Itana,1956,,,,,,27.10 ,43.40 ,,,25.60 ,26.30 ,21.90 ,16.10 ,11.50 ,10.00 ,15.20 ,34.10 ,25.90 ,26.10 ,35.70 ,27.00 ,34.40 ,,,48.60 ,32.50 ,49.80 ,43.80 ,35.40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,29.52 ,11.49 ,0.389357196,332
Rego,1956,,,,,,,40.70 ,,,30.00 ,,19.40 ,12.20 ,8.10 ,10.00 ,12.20 ,28.50 ,24.60 ,23.90 ,28.40 ,25.67 ,34.10 ,,30.00 ,45.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,24.89 ,11.02 ,0.442541559,460
Sawmont,1965,,,,,,,,,,,15.00 ,20.40 ,10.90 ,7.60 ,9.90 ,13.40 ,36.00 ,23.60 ,23.70 ,25.60 ,23.98 ,29.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,20.00 ,8.71 ,0.435707256,472
Froid,1968,,,,,,,,,,,,,,,,12.70 ,35.00 ,28.20 ,25.60 ,33.70 ,25.98 ,29.20 ,,30.20 ,47.20 ,,50.80 ,46.10 ,29.49 ,37.70 ,8.40 ,33.30 ,40.00 ,43.00 ,40.40 ,33.20 ,,39.25 ,29.34 ,11.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,32.30 ,11.10 ,0.34356131,306
Teton,1971,,,,,,,,,,,,,,,,,,,26.20 ,22.10 ,23.18 ,33.30 ,,29.10 ,51.60 ,32.90 ,52.80 ,,,,,,,,,34.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,33.92 ,11.23 ,0.330988045,520
Crest,1967,,,,,,,,,,,,,,,,,,,25.90 ,26.70 ,23.13 ,25.10 ,,,48.90 ,35.00 ,,51.40 ,41.40 ,38.00 ,2.20 ,39.40 ,44.30 ,46.40 ,,31.40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34.23 ,13.07 ,0.381677932,289
