Var,Relyear,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,count,Average,Sd,CV,id
Newturk,1926,,,27.8,14.3,12,7.5,,10.4,39.7,24.3,,,,22.6,39.5,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,24.28,13.44,0.553632846,420
Karmont,1921,,,26.8,14.4,13.9,7.1,,9.7,37,24,,,,20.6,42.6,37.9,,,49.6,49.2,35.06,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,28.01,14.14,0.504809204,
Yogo,1932,,,26,12.5,11,4,,9.6,37.3,20.2,,,,21.9,39,38.4,35.5,20.3,45.8,42.8,35.53,26.7,39.2,38.05,33.7,40.7,,55,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,30.05,13.14,0.437424849,556
Westmont,1956,,,,,,,,,45.5,25.6,,,,20.1,48.2,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,33.34,12.65,0.379507686,546
Itana,1956,,,,,12.9,8.6,,10.3,38,26.6,,,,20.3,46,45.3,45.4,25.2,46.9,48.4,42.6,28.6,41.6,40.8,44.4,44.3,51.9,56.4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,36.21,13.98,0.385992921,332
Rego,1956,,,,,,,,10,32.6,20.6,,,,18.8,46.3,43.6,40.1,23.2,51,48.4,42,28.2,39.3,38,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,34.74,12.07,0.347535826,460
Sawmont,1965,,,,,,,,,,,,,,18.5,44.7,38.9,39.3,22.6,49.7,46.6,39.7,26.7,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,36.19,10.44,0.28853138,472
Froid,1968,,,,,,,,,,,,,,,,45.5,40.1,18.9,49.1,40.1,27.94,24.6,34.8,37.8,38.5,,43.8,52.7,28.9,45.2,51.11,15.8,50.7,55.9,41.3,,22.8,41.03,56.34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,37.69,13.68,0.362910531,306
Teton,1971,,,,,,,,,,,,,,,,,,,51.5,37.2,42.6,29.9,40,41.3,43.2,38.2,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,41.49,6.46,0.15581532,520
Crest,1967,,,,,,,,,,,,,,,,,,,53.5,51.2,43.4,32.6,46.7,40.3,53.7,44.1,,66.4,36.9,41.6,58.11,31.7,57.1,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,48.83,12.2,0.249938872,289
Redwin,1979,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,51.7,64.5,36.1,40.4,57.69,32.4,66.5,61.1,55.3,,24.8,44.35,61.28,14,45.83,63.69,54.7,83.9,53.1,55.3,97.5,62.9,77.2,,65.3,62.7,,,,,,,,,,,,,,,,,,,,25,55.04,17.98,0.326672431,458
Rosebud,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1,37.5,46.6,65.9,,58.1,69.6,61.7,,27.1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,52.73,13.83,0.262255142,467
Winridge,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7,30.2,67.1,71.5,,,21.2,40.01,67.2,14.8,49.13,50.88,54.3,83.2,59.6,51,87.2,58.7,102.6,,,,,,,,,,,,,,,,,,,,,,,17,57.2,22.86,0.399655014,551
NuWest,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,61.1,76.4,54.4,,23.9,54.1,66.1,10.3,51.76,50.44,55.2,,60.9,56.1,87.2,59.4,96.5,,70.5,74.5,16,,84,13.7,,76.9,84,93.4,,,,,,,,,,,,24,58.53,24.98,0.426880072,429
