Var,Relyear,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,count,Average,Sd,CV,id
Newturk,1926,,,34.1,32.4,,46.6,54.6,58.9,43.8,,31.6,,50.3,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,44.41,9.86,0.221941152,420
Karmont,1921,,,40,,,45.2,50.3,58.3,46.2,,37.5,,,50.4,,,,,,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,47.28,6.59,0.139295837,
Yogo,1932,,,38.6,31.7,,44.9,54.1,60.1,45.1,,35,,37.9,,,,,,,,55.5,,48.6,58.4,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,46.58,9.38,0.201424115,556
Westmont,1956,,,,,,,,68.6,60.7,,34.3,,51.1,57.2,,41.5,42.4,,50.4,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,50.34,10.6,0.210528726,546
Itana,1956,,,,,,48.8,55.6,73,58.1,,32.6,,48,50.3,,46.8,35.3,58.2,,,61.1,,53.3,67.9,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,52.98,10.97,0.207130482,332
Rego,1956,,,,,,,,66.7,50,,35.5,,46.7,60.6,,49.9,42.5,61,43.6,,58.7,,56.3,54.3,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,51.84,8.78,0.16928898,460
Sawmont,1965,,,,,,,,,,,,,,53.9,,,,,,51.6,63.32,,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,53.91,6.94,0.128720732,472
Froid,1968,,,,,,,,,,,,,,,,,,,,,55.5,,43.8,59.4,55.6,,,,,,,67.1,,,,,,79.46,80.34,81.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,65.36,14.07,0.215285248,306
Teton,1971,,,,,,,,,,,,,,,,,,61.6,,,59,,47.4,61.3,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,56.18,6.36,0.113140918,520
Crest,1967,,,,,,,,,,,,,,,,,,73.4,53.5,,69,,54.1,70.9,55.6,,,,,,,89.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,66.53,13.1,0.19694749,289
Redwin,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1,,,,,,107.96,83.08,76.7,,85.75,97,100.9,44.4,99.1,102.4,80.8,98.2,52,132.8,101.2,,,,,,,,,,,,,,,,,,,,15,89.96,21.73,0.241553319,458
Rosebud,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,105.24,,,467
Winridge,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.7,,,,,,118.15,101.4,121.5,,98.61,89.5,115.7,57.2,106.5,122.6,102.1,113.6,,,,,,,,,,,,,,,,,,,,,,,12,103.21,18.27,0.177006869,551
NuWest,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.9,,,,,,113.39,85.58,92.5,,101.21,107,,55.6,100,114.5,100.2,104.5,62.2,147.7,111.1,71.5,118.6,58.27,81.13,,37,80.2,110.54,,,,,,,,,,,,21,93.17,25.78,0.27664035,429
Norwin,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2,,,,,,106.28,87.94,92.6,,85.85,94.3,95.1,,97.1,94.4,93.8,74.5,,,,,,,,,,,,,,,,,,,,,,,11,90.55,9.53,0.105261333,426
Tiber,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.9,87.21,84.9,,93.51,109.5,116.1,41.5,107.2,100.9,88.1,97.1,59.1,145.4,112.4,84.9,114.4,50.96,108.54,74.9,64,91.7,123.18,84.07,,,,,,,,,,,23,93.41,24.38,0.260989632,522
Cree,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.16,80.51,71.8,,,67.4,74.2,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,6,71.98,24.63,0.342126418,288
Judith,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,92.35,103.8,,107.49,127.6,104.8,69.7,117.3,125,110.5,105.7,55,139.3,122.3,76.6,129.1,60.09,115.54,,,,,,,,,,,,,,,,18,105.23,25.12,0.238694963,338
Erhardt,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.25,101.6,104.8,49.6,85.4,111.3,91,108.4,42.5,143.4,112.4,71.2,113.5,55.15,,,,,,,,,,,,,,,,,14,91.89,28.45,0.309549986,296
McGuire,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.29,,83.6,65.6,93.4,93.6,88.3,103.4,47.2,139.4,122.2,65.4,109.2,,,,,,,,,,,,,,,,,,12,90.88,25.64,0.282122186,383
Vanguard,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.6,51.9,97.1,109.7,93.6,100.1,52.4,130.6,123.7,66.4,104.1,52.56,105.32,90,50.3,82.7,111.6,,,,,,,,,,,,17,89.33,25.89,0.289843376,537
Rampart,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.6,103.3,92.4,94.4,55.6,129.2,113.3,59.8,,42.37,103.27,93.4,73.9,81.6,102.4,77.26,135.2,67.5,48.61,85.91,126,101.02,70.37,,,,22,89.38,25.76,0.288216977,453
BigSky,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,95.2,103.6,54.1,144,110.6,73.2,104,55.39,102.4,40.5,45,80.9,,,,,,,,,,,,,13,85.48,30.44,0.356067859,259
NuSky,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.7,103.2,57,141.5,103.2,75,112.8,59.05,89.55,25.3,36.6,73.1,119.74,88.99,,,,,,,,,,,14,84.34,32.33,0.383298197,428
Paul,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.3,123.8,66.8,126.6,59.78,86.85,12.1,39.3,,,,,,,,,,,,,,8,85.19,51.02,0.598850417,442
Yellowstone,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.5,70.6,137.8,126,77.7,102.6,141,99.5,162.2,109.1,84.51,124.2,140.5,140.45,94.87,,83.55,127.92,17,114.53,26.57,0.232000248,555
Genou,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8,57.89,109.19,68.4,67.3,86.8,127.13,79.58,139.5,26.1,16.14,57.42,119.4,64.94,,,,,14,80.76,36.85,0.456370233,314
MT1159CL,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.42,85.4,55.1,80.9,,,,,,,,,,,,,4,77.21,14.99,0.194113472,
Norris,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.6,53.9,,122.9,87.43,138,42,31.75,72.95,,,,,,,8,78.82,37.33,0.473614781,423
Hyalite,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4,51.2,,134.8,86.37,143.3,66.7,,,,,,,,,6,91.3,38.74,0.424355555,
Bynum,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,81.5,115.2,71.03,136.9,78.2,48.77,85.77,,,,,,,8,84.55,28.9,0.34183613,266
Willow Creek,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,73.8,,,,,,,,,,,,,2,70.65,4.45,0.063054108,
Decade,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2,138.2,87.9,127.7,16.4,9.09,42.35,113.1,69.33,18.5,,48.39,114.96,12,73.51,45.91,0.624549284,292
Judee,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,84.12,147.8,105.2,60.7,,136.4,125.41,118.77,,94.46,135.06,10,115.39,28.75,0.24913696,337
Bearpaw,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2,151.3,36.7,14.89,31.09,118.9,81.26,16.37,,25.74,,9,61.49,48.76,0.792984713,
Colter,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.8,95.3,129.8,152.9,151.2,141.93,,,,6,132.16,21.72,0.164383425,
WB3768,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.2,97.6,121.45,151.3,135.81,126.7,,,,6,125.18,18,0.143834546,
Northern,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7,60.24,125,150.7,130.82,133.67,,78.23,139.11,8,114.93,31.81,0.276747731,425
Warhorse,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.1,114.1,74.56,115.39,129.3,132.39,126.67,,91.96,118.41,9,117.32,22.98,0.195884634,
SY Clearstone 2CL,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,117.8,146.1,131.97,117.2,,89.62,140.16,7,117,25.9,0.221406559,
Spur,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.64,117.11,147,,,,,,3,110.58,40.08,0.362446565,
Loma,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.8,144.7,128.03,,87.59,130.26,5,126.08,22.57,0.179022635,
FourOsix,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.97,,92.39,129.11,3,118.82,23.08,0.194223584,
Flathead,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.21,136.88,2,121.55,21.69,0.178445045,
Bobcat,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1,117.6,2,105.85,16.62,0.157014591,261
Ray,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.19,131.36,2,114.28,24.16,0.211438723,
MTF1435,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.78,,1,79.78,,,
StandClear CLP,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.36,122.63,2,104,26.35,0.253420576,
