Var,Relyear,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,count,Average,Sd,CV,id
Newturk,1926,,,16.1,19.6,35.6,38.3,,26.7,37.4,37.4,33.2,,,,26.4,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,31.76,9.43,0.296828999,420
Karmont,1921,,,17.1,16.6,33.2,37.4,,31.7,37.5,37.3,35.3,,,,29.5,46.4,,,41.3,41.6,,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,33.58,8.75,0.260542613,
Yogo,1932,,,16,20.2,34.1,35.3,,27.7,36.6,36,35.6,,,,25.4,46.2,,32.5,38.2,37,,29.4,36.2,40.6,29.1,,,47.2,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,33.51,7.76,0.231626821,556
Westmont,1956,,,,,,,,,,33.2,36.8,,,,32.3,,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,34.93,2.55,0.073013601,546
Itana,1956,,,,,34.5,35.5,,27,40.8,39,31.6,,,,35.5,48.9,,37.8,41.1,41.6,,29.1,30.3,50.1,34,,42.6,39.5,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,37.69,6.24,0.165570424,332
Rego,1956,,,,,,,,20.1,35,39.3,,,,,26,48,,40.1,36.8,40.4,,31.8,40.9,38.2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,35.38,7.7,0.217490861,460
Sawmont,1965,,,,,,,,,,,34,,,,26.7,47,,33.3,38.6,35.6,,31.2,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,35.26,5.91,0.167593989,472
Froid,1968,,,,,,,,,,,,,,,,47.7,,31.2,40.1,34.1,,28.3,39.4,41.5,28.1,,34.5,50.7,32.8,,42.91,,48.9,,48.5,28.3,25.9,40.41,58.58,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,38.52,9.28,0.240961648,306
Teton,1971,,,,,,,,,,,,,,,,,,,42.6,36.8,,27.6,39.1,37.2,29.5,,40.2,,,,,,,,,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,35.7,5.3,0.148425404,520
Crest,1967,,,,,,,,,,,,,,,,,,,39.2,38.2,,31.6,37.6,47.9,28.1,,,37.7,29.3,,43.86,,36.7,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,35.4,7.93,0.224112456,289
Redwin,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,49.9,38.3,,44.01,,52.5,,52,28,23.6,43.26,,33.3,40.13,35.04,,25.5,54,,49.8,40,57.6,60.3,52,,,,,,,,,,,,,,,,,,,,,19,43.03,10.82,0.251363015,458
