Var,Relyear,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,count,Average,Sd,CV,id
Newturk,1926,,,18.8,,12.2,12.2,,,,,,,30.1,14,18.7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,18.14,6.32,0.348362985,420
Karmont,1921,,,30.1,,16.8,16.8,,,,,,,26.3,16.5,13.9,21.3,,,41.2,39.3,,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,26.17,10.72,0.409739317,
Yogo,1932,,,45.2,,15.9,15.9,,,,,,,27.6,25.7,26.6,30.5,17.1,28.3,41.7,41.7,,37.1,34.9,,58.8,50.8,,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,34.94,14.21,0.406646793,556
Westmont,1956,,,,,,,,,,,,,33.3,12,7.9,,,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18.88,11.37,0.602148593,546
Itana,1956,,,,,8.8,8.8,,,,,,,32.9,15.4,7.1,23.9,6.3,22,36.7,40.5,,37.7,30.6,,63,46.9,48,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,30.43,18.28,0.600889654,332
Rego,1956,,,,,,,,,,,,,23.2,16.9,13,30.5,5.8,20.1,39,41.2,,31.4,33,,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,27.69,13.3,0.480417297,460
Sawmont,1965,,,,,,,,,,,,,28.2,18.8,22.2,25.6,12.5,22,39.9,40.2,,33.8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,27.52,9.06,0.329073284,472
Froid,1968,,,,,,,,,,,,,,,,30.1,38.4,24.6,36,40.6,,34.1,35.9,,55.3,,45.5,58.2,,55.3,,,44.6,,43.1,,,,40.13,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,39.33,12.75,0.324272302,306
Teton,1971,,,,,,,,,,,,,,,,,,,42.6,38.6,,38.8,35.2,,58.5,51.4,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,45.17,8.58,0.189881976,520
Crest,1967,,,,,,,,,,,,,,,,,,,36.4,31.9,,34.2,33.6,,64.6,48.5,,46.4,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,42.95,11.12,0.258956429,289
